image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,7.5926600884194811e-02,2.8104260185397127e-03
1,-9.3147805491753388e-01,2.2437857787735993e-01,-1.0799300319046163e+00,3.9222320435042514e-02
2,-1.4906624992363504e+00,8.2128993926744442e-01,-2.2360258375041040e+00,8.1268689535621011e-02
3,-1.6966574152320391e+00,1.7716300017127651e+00,-3.3923608159143002e+00,1.2333186279687530e-01
4,-1.6478383957291953e+00,1.8150505153244012e+00,-3.3869623100347170e+00,1.2187478711736634e-01
5,-1.5536804545263294e+00,1.8935440622954047e+00,-3.3712979159204211e+00,1.2016339781183306e-01
6,-1.4357695221406175e+00,1.9957311791586108e+00,-3.3555741003178605e+00,1.1858626278142365e-01
7,-1.0366315938881598e+00,2.8132344841651502e+00,-3.7739394770341632e+00,1.2984277934115351e-01
8,-9.5425098479609005e-01,3.3222586869669612e+00,-4.2005830708026313e+00,1.4342457189759864e-01
9,-1.3962918932520552e+00,3.3068587805246352e+00,-4.6272240728767535e+00,1.5857590259848087e-01
10,-1.8856664324630401e+00,3.2977104867313756e+00,-5.1074503182110655e+00,1.7679888574743660e-01
11,-2.5417477041628445e+00,3.1235865048074629e+00,-5.5894076080666739e+00,1.9611966025504604e-01
12,-3.1656963334171451e+00,2.9818983162840595e+00,-6.0716680488000696e+00,2.1620879933757509e-01
13,-3.3640936659139697e+00,2.9132403553376207e+00,-6.2014074202313347e+00,2.2379796357838513e-01
14,-3.5223319437136524e+00,2.8739143626808072e+00,-6.3203197054026061e+00,2.3142324775993492e-01
15,-3.5999330897539039e+00,2.9156000946386484e+00,-6.4396065834709786e+00,2.3945636039791662e-01
16,-3.3487986851469032e+00,3.5559612397264573e+00,-6.8288333239031029e+00,2.5867771799467604e-01
17,-3.0613707293014158e+00,4.2418399580128607e+00,-7.2272840864313652e+00,2.7862477483655784e-01
18,-3.0763895420022891e+00,4.6252981790530612e+00,-7.6257611201751017e+00,2.9886034566169994e-01
19,-3.3988259207035298e+00,4.7776615047041560e+00,-8.1005608244605867e+00,3.2226296482669647e-01
20,-4.1731851973963785e+00,4.4811873474827735e+00,-8.5784459439912570e+00,3.4596267676398229e-01
21,-5.2485626392808626e+00,3.8842311421831255e+00,-9.0568671804435663e+00,3.6982352035939342e-01
22,-5.9976538768751197e+00,3.3591339770282502e+00,-9.2808612529772621e+00,3.8554775409732567e-01
23,-6.6983609041926684e+00,2.8764731951014255e+00,-9.4989074982705688e+00,4.0179371182544743e-01
24,-7.1790781274103210e+00,2.6152233776883804e+00,-9.7183749041995497e+00,4.1871864636655876e-01
25,-7.3680142617376987e+00,2.4018045749471639e+00,-9.6938922357665138e+00,4.2238937598108400e-01
26,-7.6348122605850222e+00,2.1053903086794890e+00,-9.6642759683316495e+00,4.2785728947119289e-01
27,-7.9481949920591433e+00,1.7624118527237442e+00,-9.6346802437888801e+00,4.3535383911236536e-01
28,-8.0988144620278035e+00,9.1425375649123453e-01,-8.9371416176216094e+00,4.2583342152909270e-01
29,-7.9595218885515351e+00,3.4887713718489977e-01,-8.2324724246985603e+00,4.1894618404134176e-01
30,-7.4725913587826653e+00,1.3120296534907538e-01,-7.5278677232295106e+00,4.1505735194033366e-01
